Item #,Name,Type,Make,Model,Brand,Description
100,Service One,Service,,,Programming Consultation,1 hour of consulting on web design concepts
101,Service Two,Service,,,Programming Consultation,5 hours of consulting on web design concepts
102,ProgCalc,Product,Casio,2020,,Programmable calculator
103,ProgBook,Book,,,O'Reilly,A book on web design concepts
104,Service  Three,Service,,,Programming Consultation,2 hours of consulting on web design concepts
105,MacBook,Product,Apple,2019,,Computer
106,Iphone11Pro,Product,Apple,2020,,Cellphone
107,Service  Four,Service,,,Programming Consultation,1 hour of consulting on web design concepts
108,Service  Five,Service,,,Programming Consultation,3 hours of consulting on web design concepts
109,ThinkBook,Product,Lenovo,2021,,A touchscreen computer
110,Learn Programming,Book,,2018,CreateSpace Independent,A book about software development
